institutionID,name,bic,environmentType,countries,brands,active,businessAccounts,aISAccount,aISAccounts,aISAccountBalances,aISAccountsWithoutBalance,aISTransactions,aISIdentity,aISStatements,pISDomesticSingle,pISDomesticSingleInstant,pISFuturePayment,pISStandingOrder,pISVRP,pISInternationalSingle,pISInternationalFuturePayment,pISInternationalFixedRecurring,pISBulkPayments,singleAuth,preAuth,embedded,domesticSinglePaymentRefund,domesticScheduledPaymentRefund,domesticPeriodicPaymentRefund,internationalSinglePaymentRefund,internationalScheduledPaymentRefund
bsk-reichenau,Bezirkssparkasse Reichenau,SOLADES1REN,LIVE,DE,,true,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No
btv,BTV Bank AG,BTVAAT22XXX,LIVE,AT,btv,true,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No
bunq_at,bunq B.V,BUNQNL2AXXX,LIVE,AT,,true,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
bunq_be,bunq B.V,BUNQNL2AXXX,LIVE,BE,,true,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
bunq_de,bunq B.V,BUNQNL2AXXX,LIVE,DE,,true,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
bunq_dk,bunq B.V,BUNQNL2AXXX,LIVE,DK,,true,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
bunq_ee,bunq B.V,BUNQNL2AXXX,LIVE,EE,,true,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
bunq_es,bunq B.V,BUNQNL2AXXX,LIVE,ES,,true,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
bunq_fi,bunq B.V,BUNQNL2AXXX,LIVE,FI,,true,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
bunq_fr,bunq B.V,BUNQNL2AXXX,LIVE,FR,,true,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
bunq_ie,bunq B.V,BUNQNL2AXXX,LIVE,IE,,true,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
bunq_it,bunq B.V,BUNQNL2AXXX,LIVE,IT,,true,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
bunq_lt,bunq B.V,BUNQNL2AXXX,LIVE,LT,,true,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
bunq_lv,bunq B.V,BUNQNL2AXXX,LIVE,LV,,true,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
bunq_nl,bunq B.V,BUNQNL2AXXX,LIVE,NL,,true,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
