institutionID,name,bic,environmentType,countries,brands,active,businessAccounts,aISAccount,aISAccounts,aISAccountBalances,aISAccountsWithoutBalance,aISTransactions,aISIdentity,aISStatements,pISDomesticSingle,pISDomesticSingleInstant,pISFuturePayment,pISStandingOrder,pISVRP,pISInternationalSingle,pISInternationalFuturePayment,pISInternationalFixedRecurring,pISBulkPayments,singleAuth,preAuth,embedded,domesticSinglePaymentRefund,domesticScheduledPaymentRefund,domesticPeriodicPaymentRefund,internationalSinglePaymentRefund,internationalScheduledPaymentRefund
aachener-bank,Aachener Bank eG,GENODED1AAC,LIVE,DE,,true,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
abn-amro-be-asset,ABN AMRO Asset Managers Belgium,SGPBBE99XXX,LIVE,BE,abn-amro-nl,true,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
abn-amro-be-private,ABN AMRO Private Banking Belgium,SGPBBE99XXX,LIVE,BE,abn-amro-nl,true,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
abn-amro-nl,ABN AMRO Bank N.V.,ABNANL2AXXX,LIVE,"NL,BE,DE",abn-amro-nl,true,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
abn-amro-sandbox,Abn Amro Sandbox,ABNANL2AXXX,SANDBOX,"NL,BE,DE",abn-amro-nl,true,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
abtsgmuer-bank,Abtsgmünder Bank -Raiffeisen- eG,GENODES1ABR,LIVE,DE,,true,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
aib,Allied Irish Bank Ireland Personal,AIBKIE2DXXX,LIVE,IE,,true,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No
aibbusiness,Allied Irish Bank Ireland Business,AIBKIE2DXXX,LIVE,IE,,true,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No
aibgb,Allied Irish Bank UK Personal,AIBKGB2LXXX,LIVE,GB,,true,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
aibgb-sandbox,Allied Irish Bank UK Personal Sandbox,AIBKGB2LXXX,SANDBOX,GB,,true,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No
aibgbbusiness,Allied Irish Bank UK Business,AIBKGB2LXXX,LIVE,GB,,true,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No
airbus-bank,Airbus Bank GmbH,AGBMDEMMXXX,LIVE,DE,,true,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
airwallex,Airwallex,AIRWGB22XXX,LIVE,GB,,true,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
airwallex-eu,Airwallex EU,AINHNL22XXX,LIVE,"NO,NL,FR,PT,IT,AT,DE,DK,SE,FI,EE,LV,LT",,true,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
airwallex-eu-sandbox,Airwallex EU Sandbox,AINHNL22XXX,SANDBOX,"NO,NL,FR,PT,IT,AT,DE,DK,SE,FI,EE,LV,LT",,true,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
airwallex-sandbox,Airwallex Sandbox,AIRWGB22XXX,SANDBOX,GB,,true,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
akros,Banca Akros S.p.A.,BAPPIT22XXX,LIVE,IT,,true,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
aktivbank,Aktivbank AG,AKBADES1XXX,LIVE,DE,,true,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
aletti_banca_investimento,Banca Aletti S.p.A.,BAPPIT22XXX,LIVE,IT,,true,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
allianz_fr,Allianz Banque,AGFBFRPPXXX,LIVE,FR,,true,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
allicabank,Allica Bank,CIIVGB2A,LIVE,GB,,true,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
allicabank-sandbox,Allica Bank Sandbox,CIIVGB2A,SANDBOX,GB,,true,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
alta-pusteria,RAIFFEISENKASSE HOCHPUSTERTAL CASSA RAIFFEISEN ALTA PUSTERIA,RZSBIT21XXX,LIVE,IT,,true,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No
alta-venosta,RAIFFEISENKASSE OBERVINSCHGAU CASSA RAIFFEISEN ALTA VENOSTA,RZSBIT21XXX,LIVE,IT,,true,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No
amex-ob-sandbox,American Express Sandbox,AETCUS55XXX,SANDBOX,"GB,NO,FR",,true,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
amex-ob_eu,American Express EU,AETCUS55XXX,LIVE,"NO,FR",,true,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
amex-ob_uk,American Express UK,AETCUS55XXX,LIVE,GB,,true,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
andbank,ANDBANK Espana SA,BACAESMMXXX,LIVE,ES,,true,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No
annamoney,Anna Money,,LIVE,GB,annamoney,true,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
anton-hafner-bankhaus,Bankhaus Anton Hafner KG,ANHODE77XXX,LIVE,DE,,true,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
arbejdernes-sandbox_dk,Arbejdernes Landsbank Sandbox,ALBADKKK,SANDBOX,DK,arbejdernes-sandbox_dk,true,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No
arbejdernes_dk,Arbejdernes Landsbank,ALBADKKK,LIVE,DK,arbejdernes_dk,true,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No
arkea-banking,Arkéa Banking Services,CMBRFR2BCME,LIVE,FR,,true,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
arkea-corporate,Arkéa Banque Entreprises et Institutionnels,CMBRFR2BCME,LIVE,FR,,true,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No
arkea-personal,Arkéa Banque Privée,CMBRFR2BXXX,LIVE,FR,,true,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No
asnbank,ASN Bank,ASNBNL21XXX,LIVE,NL,devolksbank,true,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
austrian_docs_n_pharmacists,Austrian Doctors and Pharmacists Bank,BWFBATW1,LIVE,AT,,true,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
banca_alpi_marittime_credit_coop_carru_azioni,Banca Alpi Marittime Credito Cooperativo Carru' - Società cooperativa per azioni,ICRAITRRCI0,LIVE,IT,,true,No,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
banca_alta_toscana_credito_coop,Banca Alta Toscana Credito Cooperativo,ICRAITRRPM0,LIVE,IT,,true,No,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
banca_bnl,Banca Nazionale del Lavoro Spa,BNLIITRRXXX,LIVE,IT,,true,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
banca_bnl_corporate,BNL Corporate,BNLIITRRXXX,LIVE,IT,,true,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
banca_march,Banca March,BMARES2MXXX,LIVE,ES,,true,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No
banca_popolare_vb_card,Volksbank - Retail Prepaid Card,BPAAIT2B056,LIVE,IT,,true,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
banca_popolare_vb_german_personal,Volksbank - Retail Direct Banking_German version,BPAAIT2B056,LIVE,IT,,true,No,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
banca_popolare_vb_germancard,Volksbank - Banca Popolare Prepaid Card_German version,BPAAIT2B056,LIVE,IT,,true,No,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
banca_popolare_vb_personal,Volksbank - Retail Direct Banking,BPAAIT2B130,LIVE,IT,,true,No,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
bancadelfucino_it,Banca del Fucino,CRBZIT2B003,LIVE,IT,,true,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No
bancadelpiemonte_it,Banca del Piemonte,CRBZIT2B003,LIVE,IT,,true,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No
bancadelsud_it,Banca del Sud,CRBZIT2B003,LIVE,IT,,true,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No
bancaifis_it,Banca del Mezzogiorno – MedioCredito Centrale S.p.A.,CRBZIT2B003,LIVE,IT,,true,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No
bancamediolanum_it,Banca Mediolanum,CRBZIT2B003,LIVE,IT,,true,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No
bancapopolarebari_it,Banca Popolare di Bari,CRBZIT2B003,LIVE,IT,,true,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No
bancaprogetto_it,Banca Progetto S.p.A.,CRBZIT2B003,LIVE,IT,,true,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No
bancaubae_it,Banca Ubae S.p.A.,CRBZIT2B003,LIVE,IT,,true,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No
bancavalsabbina_it,Banca Valsabbina,CRBZIT2B003,LIVE,IT,,true,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No
banco-activobank-sa,Banco Activo SA,BBPIPTPL,LIVE,PT,,true,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
banco-activobank-sa-sandbox,BANCO ACTIVOBANK SA SANDBOX,BBPIPTPL,SANDBOX,PT,,true,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
banco-atlantico-europa,Banco Atlantico Europa SA,BAPAPTPLXXX,LIVE,PT,,true,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
banco-atlantico-europa-sandbox,BANCO ATLANTICO EUROPA SA SANDBOX,BAPAPTPLXXX,SANDBOX,PT,,true,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
banco-bpi-sa,Banco BPI SA,BBPIPTPL,LIVE,PT,,true,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No
banco-bpi-sa-sandbox,BANCO BPI SA SANDBOX,BBPIPTPL,SANDBOX,PT,,true,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No
banco-comercial-portugues-sa,"Banco Comercial Português, SA ( BCP )",BCOMPTPL,LIVE,PT,,true,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No
banco-comercial-portugues-sa-sandbox,"Banco Comercial Português, SA ( BCP )- Sandbox",BCOMPTPL,SANDBOX,PT,,true,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No
banco-de-investimento-global-espanha-sa," Banco de Investimento Global (BIG) Espanha",IGSEESMMXXX,LIVE,PT,,true,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
banco-de-investimento-global-espanha-sa-sandbox," Banco de Investimento Global (BIG) Espanha -Sandbox",IGSEESMMXXX,SANDBOX,PT,,true,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
banco-de-investimento-global-sa,Banco de Investimento Global (BIG),BDIGPTPLXXX,LIVE,PT,,true,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
banco-de-investimento-global-sa-sandbox,Banco de Investimento Global (BIG) -Sandbox,BDIGPTPLXXX,SANDBOX,PT,,true,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
banco-portugues-de-gestao,Banco Portugues de Gestao SA,BPGPPTPLXXX,LIVE,PT,,true,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
banco-portugues-de-gestao-sandbox,Banco Portugues de Gestao SA- Sandbox,BPGPPTPLXXX,SANDBOX,PT,,true,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
banco-santander-totta-sa,Banco Santander Totta SA,TOTAPTPL,LIVE,PT,,true,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No
banco-santander-totta-sa-sandbox,Banco Santander Totta SA -Sandbox,TOTAPTPL,SANDBOX,PT,,true,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No
banco_bpm,Banco BPM S.p.A,BAPPIT22XXX,LIVE,IT,,true,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
banco_bpm_corporate,Banco BPM S.p.A - Corporate,BAPPIT22XXX,LIVE,IT,,true,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
banco_bpm_private,Banco BPM S.p.A - Private,BAPPIT22XXX,LIVE,IT,,true,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
banco_de_credito_cooperativ,Banco de Crédito Cooperativo,BCCAESMMXXX,LIVE,ES,,true,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No
banco_di_sardegna,Banco di Sardegna S.p.A.,SARDIT3SXXX,LIVE,IT,,true,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
banco_di_sardegna_corporate,Banco di Sardegna - Corporate,SARDIT3S540,LIVE,IT,,true,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
banco_mediolanum,Banca Mediolanum,MEDBITMMXXX,LIVE,ES,,true,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No
banco_pichincha,Banco Pichincha,PICHECEQXXX,LIVE,ES,,true,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No
banco_posta,Poste Italiane S.p.A. Patrimonio BancoPosta,BPPIITRRXXX,LIVE,IT,,true,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
banco_posta_businesslink,Poste Italiane S.p.A. Patrimonio BancoPosta - Business,BAPPIT22XXX,LIVE,IT,,true,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
banco_posta_card,Postepay S.p.A,BAPPIT22XXX,LIVE,IT,,true,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
banco_posta_corporate,Poste Italiane S.p.A. Patrimonio BancoPostaa - Corporate,BPPIITRRXXX,LIVE,IT,,true,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
banco_posta_ibancard,Poste Italiane S.p.A. Patrimonio PostePay - IBAN Card,BAPPIT22XXX,LIVE,IT,,true,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
banco_sabadell,Banco Sabadell,BSABESBBXXX,LIVE,ES,,true,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No
banco_santander,Banco Santander,BSCHESMMXXX,LIVE,ES,,true,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No
bancobrianza_it,Banco di Desio e della Brianza,CRBZIT2B003,LIVE,IT,,true,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No
bancotrevenezie_it,Banco delle Tre Venezie,CRBZIT2B003,LIVE,IT,,true,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No
bank1saar,Bank 1 Saar eG,SABADE5SXXX,LIVE,DE,,true,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
banking-kurhessische-landbank,Kurhessische Landbank eG,GENODEF1KS2,LIVE,DE,,true,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
banking-rb-mnord,Raiffeisenbank München-Nord eG,GENODEF1M08,LIVE,DE,,true,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
bankinter,Bankinter,BKBKESMMXXX,LIVE,ES,,true,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No
bankinter-sa-sucursal-em-portugal,Bankinter SA - Sucursal em Portugal,BKBKPTPLXXX,LIVE,PT,,true,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No
bankinter-sa-sucursal-em-portugal-sandbox,Bankinter SA - Sucursal em Portugal - Sandbox,BKBKPTPLXXX,SANDBOX,PT,,true,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No
bankofireland,Bank of Ireland,BOFIIE2DXXX,LIVE,IE,,true,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
bankofireland_uk,Bank of Ireland (UK) plc,BOFIIE2DXXX,LIVE,GB,,true,No,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
bankofirelandbusiness,Bank of Ireland Business,BOFIIE2DXXX,LIVE,IE,,true,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
bankofirelandbusiness_uk,Bank of Ireland Business UK,BOFIIE2DXXX,LIVE,GB,,true,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
bankofscotland,Bank of Scotland (Personal),BOFSGBS1ZF2,LIVE,GB,,true,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No
bankofscotland-sandbox,Bank of Scotland Sandbox,BOFSGBS1ZF2,SANDBOX,GB,,true,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No
bankofscotlandbusiness,Bank of Scotland (Business),BOFSGBS1ZF2,LIVE,GB,,true,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No
bankofscotlandcommercial_eu,Bank of Scotland EU (Commercial),BOFSGBS1ZF2,LIVE,GB,,true,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No
bankofscotlandcommercial_uk,Bank of Scotland UK (Commercial),BOFSGBS1ZF2,LIVE,GB,,true,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No
banque-bcp,Banque BCP,BPSMFRPPXXX,LIVE,FR,,true,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
banque-de-savoie,Banque de Savoie,BSAVFR2CXXX,LIVE,FR,,true,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
banque-palatine,Banque Palatine,BSPFFRPPXXX,LIVE,FR,,true,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
banque_chalus,Banque Chalus,BCHAFR21XXX,LIVE,FR,,true,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No
banquechaabi_it,Banque Chaabi du Maroc,CRBZIT2B003,LIVE,IT,,true,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No
barclaycard,Barclaycard,BUKBGB22,LIVE,GB,,true,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
barclaycard-commercial-payments,Barclaycard Commercial Payments,BUKBGB22XXX,LIVE,GB,,true,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No
barclays,Barclays Bank Personal,BUKBGB22,LIVE,GB,,true,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No
barclays-sandbox,Barclays Sandbox,BUKBGB22,SANDBOX,GB,,true,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No
barclays_business,Barclays Business,BUKBGB22,LIVE,GB,,true,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No
barclays_corporate,Barclays Corporate,BUKBGB22,LIVE,GB,,true,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No
barclays_wealth,Barclays Wealth,BUKBGB22,LIVE,GB,,true,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No
bassa-atseina,RAIFFEISENKASSE UNTERLAND CASSA RAIFFEISEN BASSA ATESINA,RZSBIT21XXX,LIVE,IT,,true,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No
